model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,11,14.433726838114836,0.0107657772498166,0.004323883383409928,0.006441893866406673,0.04463084232268897,0.014930502374011216,0.10344176900025956,0.4314586143879363,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,12,14.433726838114836,-0.00809752672608156,-0.0036876022865324114,0.004409924439549149,0.030552916020995736,0.012987321811971665,0.08997899127255421,0.3395561073634209,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,13,14.433726838114836,-0.0005909574529605392,0.0016507835664301652,0.0022417410193907045,0.015531269536506584,0.013523723603413645,0.09369529959304644,0.16576359330686458,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,14,14.433726838114836,0.012346370984725009,0.002091197590686114,0.010255173394038895,0.07105007257694718,0.01256148719225445,0.08702871637478685,0.8163980297143755,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,15,14.433726838114836,0.015041061763532287,0.0005767745766053489,0.014464287186926938,0.10021172874583854,0.018752505828995212,0.12992144052134802,0.7713255667710387,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,1,14.433726838114836,-14.416808625250361,-14.443788283291022,0.026979658040660937,0.18692094109344182,0.007435012312973147,0.051511383001510515,3.6287307814655367,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,2,14.433726838114836,0.5505564129301254,0.5872664895455255,0.036710076615400156,0.2543353981070269,0.014882517201439478,0.10310931728415097,2.4666577648470285,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,3,14.433726838114836,-0.39459380770410946,-0.2975042497249998,0.09708955797910968,0.6726575822588476,0.012948952581388222,0.08971316089476072,7.497869605195587,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,4,14.433726838114836,0.1334012391995818,0.07554599935244617,0.05785523984713563,0.40083368970485517,0.016432460000254202,0.11384765822823635,3.5207899393177065,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,5,14.433726838114836,0.07084044030982993,0.021750366101376553,0.04909007420845338,0.34010671505035184,0.01937141425337489,0.13420937274648434,2.534150246665697,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,6,14.433726838114836,0.027216901799040495,-0.01379034292786282,0.041007244726903314,0.28410711375399145,0.02269772728835269,0.15725479318629812,1.8066674344063571,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,7,14.433726838114836,0.03559192380048622,0.00041952344765239236,0.03517240035283383,0.24368204239500238,0.025420060642724646,0.17611571098601111,1.3836473817736685,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,8,14.433726838114836,-0.04071781045339061,-0.0010990815273195231,0.03961872892607109,0.2744871741749383,0.017104349272791634,0.1185026532968917,2.316295597932726,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,9,14.433726838114836,-0.020043706590465338,0.009705490333528504,0.029749196923993842,0.20610890906869436,0.031083883571948304,0.21535590856455555,0.9570617794631379,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,10,14.433726838114836,0.009171431304034161,0.001432639642193409,0.007738791661840752,0.05361603242625522,0.016410779020460214,0.11369744768291316,0.47156759908791523,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,inverse_sqrt_sensitivity,1.5,1,11,14.433726838114836,0.0107657772498166,0.004323883383409928,0.006441893866406673,0.04463084232268897,0.01365002418612096,0.09457033751030698,0.4719327803797334,True,True,False
